OFFENSE_CODE,YEAR,OFFENSE_DESCRIPTION,OCCURRED_ON_DATE,STREET,Lat,Long,Location,OFFENSE_CODE_GROUP
619,2018,LARCENY ALL OTHERS,2018-09-02 13:00:00,LINCOLN ST,42.35779134,-71.13937053,"(42.35779134, -71.13937053)",Larceny
1402,2018,VANDALISM,2018-08-21 00:00:00,HECLA ST,42.30682138,-71.06030035,"(42.30682138, -71.06030035)",Vandalism
3410,2018,TOWED MOTOR VEHICLE,2018-09-03 19:27:00,CAZENOVE ST,42.34658879,-71.07242943,"(42.34658879, -71.07242943)",Towed
3114,2018,INVESTIGATE PROPERTY,2018-09-03 21:16:00,NEWCOMB ST,42.33418175,-71.07866441,"(42.33418175, -71.07866441)",Investigate Property
3114,2018,INVESTIGATE PROPERTY,2018-09-03 21:05:00,DELHI ST,42.27536542,-71.09036101,"(42.27536542, -71.09036101)",Investigate Property
3820,2018,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,2018-09-03 21:09:00,TALBOT AVE,42.29019621,-71.07159012,"(42.29019621, -71.07159012)",Motor Vehicle Accident Response
724,2018,AUTO THEFT,2018-09-03 21:25:00,NORMANDY ST,42.30607218,-71.0827326,"(42.30607218, -71.08273260)",Auto Theft
3301,2018,VERBAL DISPUTE,2018-09-03 20:39:37,LAWN ST,42.32701648,-71.10555088,"(42.32701648, -71.10555088)",Verbal Disputes
301,2018,ROBBERY - STREET,2018-09-03 20:48:00,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)",Robbery
3301,2018,VERBAL DISPUTE,2018-09-03 20:38:00,LESLIE ST,42.29514664,-71.05860832,"(42.29514664, -71.05860832)",Verbal Disputes
3301,2018,VERBAL DISPUTE,2018-09-03 19:55:00,OCEAN VIEW DR,42.31957856,-71.04032766,"(42.31957856, -71.04032766)",Verbal Disputes
3114,2018,INVESTIGATE PROPERTY,2018-09-03 20:19:00,DALESSIO CT,42.34011469,-71.05339029,"(42.34011469, -71.05339029)",Investigate Property
3108,2018,"FIRE REPORT - HOUSE, BUILDING, ETC.",2018-09-03 19:58:00,MARLBOROUGH ST,42.3503876,-71.0878529,"(42.35038760, -71.08785290)",Fire Related Reports
2647,2018,THREATS TO DO BODILY HARM,2018-09-03 20:39:00,WOODROW AVE,42.28647012,-71.08714661,"(42.28647012, -71.08714661)",Other
3201,2018,PROPERTY - LOST,2018-09-02 14:00:00,MULVEY ST,42.27924052,-71.09667382,"(42.27924052, -71.09667382)",Property Lost
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 19:43:00,,42.35287456,-71.0738297,"(42.35287456, -71.07382970)",Medical Assistance
3301,2018,VERBAL DISPUTE,2018-09-03 18:52:00,STONEHURST ST,42.30526428,-71.06683755,"(42.30526428, -71.06683755)",Verbal Disputes
3305,2018,DEMONSTRATIONS/RIOT,2018-09-03 17:00:00,HUNTINGTON AVE,42.34857652,-71.07772012,"(42.34857652, -71.07772012)",Assembly or Gathering Violations
2647,2018,THREATS TO DO BODILY HARM,2018-09-03 19:52:00,HORADAN WAY,42.33371742,-71.09665806,"(42.33371742, -71.09665806)",Other
614,2018,LARCENY THEFT FROM MV - NON-ACCESSORY,2018-09-02 18:00:00,SHIRLEY ST,42.3256949,-71.06816778,"(42.32569490, -71.06816778)",Larceny From Motor Vehicle
3801,2018,M/V ACCIDENT - OTHER,2018-09-03 18:30:00,BEACON ST,42.35564426,-71.07168077,"(42.35564426, -71.07168077)",Motor Vehicle Accident Response
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 18:42:00,CAPEN ST,42.28340243,-71.0807974,"(42.28340243, -71.08079740)",Medical Assistance
3803,2018,M/V ACCIDENT - PERSONAL INJURY,2018-09-03 18:33:00,WASHINGTON ST,42.27581799,-71.13991259,"(42.27581799, -71.13991259)",Motor Vehicle Accident Response
522,2018,BURGLARY - RESIDENTIAL - NO FORCE,2018-09-03 18:38:00,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)",Residential Burglary
3831,2018,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-09-03 18:20:00,,42.28359328,-71.05565683,"(42.28359328, -71.05565683)",Motor Vehicle Accident Response
3006,2018,SICK/INJURED/MEDICAL - PERSON,2018-09-03 18:50:00,MASSACHUSETTS AVE,42.33311189,-71.0727637,"(42.33311189, -71.07276370)",Medical Assistance
802,2018,ASSAULT SIMPLE - BATTERY,2018-09-03 18:34:00,ANNAPOLIS ST,42.31731905,-71.06150882,"(42.31731905, -71.06150882)",Simple Assault
2900,2018,VAL - VIOLATION OF AUTO LAW - OTHER,2018-09-03 18:55:00,BLUE HILL AVE,42.29590385,-71.08773294,"(42.29590385, -71.08773294)",Other
2907,2018,VAL - OPERATING AFTER REV/SUSP.,2018-09-03 18:41:00,CLARKWOOD ST,42.28013735,-71.09079826,"(42.28013735, -71.09079826)",Violations
